id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
21302,Home in Fairhaven · ★4.90 · 4 bedrooms · 5 beds · 3.5 baths,81292,Surf Coast,-38.46329,144.09163,Entire home/apt,400,3,51,18-01-2023,0.46,3,151,1
27561,Home in Jan Juc · 4 bedrooms · 6 beds · 2.5 baths,119103,Surf Coast,-38.34221,144.30398,Entire home/apt,500,5,2,18-04-2022,0.04,2,82,0
70449,Home in Birregurra · ★4.83 · 2 bedrooms · 3 beds · 2 baths,357052,Colac Otway,-38.32982,143.82842,Entire home/apt,277,1,53,29-07-2023,0.49,1,301,5
84516,Home in Port Fairy · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,462049,Moyne,-38.39149,142.22084,Entire home/apt,517,2,141,19-11-2023,1.19,1,295,16
195168,Home in Lorne · ★4.82 · 3 bedrooms · 5 beds · 2 baths,899909,Surf Coast,-38.54025,143.97139,Entire home/apt,850,2,28,18-04-2023,0.19,1,340,2
291691,Place to stay in Barwon Heads · ★4.51 · 1 bedroom · 2 beds · 1 bath,1511087,Greater Geelong,-38.27942,144.49073,Entire home/apt,79,2,79,14-12-2023,0.55,2,321,17
372470,Home in Wensleydale · ★4.95 · 5 bedrooms · 11 beds · 2.5 baths,1875131,Surf Coast,-38.33816,144.02221,Entire home/apt,993,2,200,15-12-2023,2,1,0,34
403682,Home in Aireys Inlet · ★4.75 · 3 bedrooms · 4 beds · 1.5 baths,246509,Surf Coast,-38.465721,144.099136,Entire home/apt,550,2,186,13-04-2023,1.28,1,144,2
479888,Home in Lorne · ★4.68 · 3 bedrooms · 4 beds · 1 bath,2377195,Surf Coast,-38.54855,143.95517,Entire home/apt,675,2,75,22-05-2023,0.78,5,39,5
488344,Guest suite in Fairhaven · ★4.95 · 1 bedroom · 1 bed · 1 bath,2416415,Surf Coast,-38.46413,144.09497,Entire home/apt,130,2,284,02-12-2023,3.08,2,280,50
488599,Home in Geelong · ★4.83 · 3 bedrooms · 4 beds · 1.5 baths,2417695,Greater Geelong,-38.15406,144.35685,Entire home/apt,429,1,278,16-04-2023,2.22,5,297,1
606687,Rental unit in Point Lonsdale · ★4.95 · 1 bedroom · 1 bed · 1 bath,3005560,Queenscliffe,-38.2825,144.61339,Entire home/apt,2501,2,360,16-12-2023,2.62,1,215,28
675196,Rental unit in North Geelong · ★4.89 · 1 bedroom · 1 bed · 1 bath,3429566,Greater Geelong,-38.12033,144.35596,Entire home/apt,135,1,247,16-12-2023,2.04,1,15,30
697087,Rental unit in Lorne · ★4.81 · 3 bedrooms · 6 beds · 2.5 baths,3570625,Surf Coast,-38.527565,143.982712,Entire home/apt,900,3,149,23-12-2023,1.1,4,57,18
785467,Rental unit in Marengo · ★4.56 · 2 bedrooms · 2 beds · 1.5 baths,4140800,Colac Otway,-38.77916,143.66466,Entire home/apt,340,1,236,26-11-2023,1.77,1,327,32
841336,Home in Lara · ★4.68 · 1 bedroom · 2 beds · 1.5 baths,4393951,Greater Geelong,-38.01528,144.40169,Private room,264,1,22,18-12-2022,0.18,1,365,0
847397,Townhouse in Lorne · ★4.16 · 2 bedrooms · 2 beds · 1 bath,459921,Surf Coast,-38.5301,143.98119,Entire home/apt,395,2,63,24-04-2022,0.47,3,258,0
850562,Rental unit in Geelong · ★4.72 · 2 bedrooms · 3 beds · 1 bath,2417695,Greater Geelong,-38.1471,144.37349,Entire home/apt,220,1,163,06-10-2023,1.34,5,310,3
853375,Home in Point Lonsdale · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4456031,Queenscliffe,-38.27055,144.61555,Entire home/apt,190,3,66,02-12-2023,0.6,1,309,7
855501,Home in Deans Marsh · ★4.66 · 3 bedrooms · 3 beds · 1 bath,4069063,Surf Coast,-38.39517,143.88749,Entire home/apt,224,2,122,21-05-2023,0.92,1,252,15
858408,Guesthouse in Lorne · ★4.39 · 2 bedrooms · 2 beds · 1 bath,459921,Surf Coast,-38.53829,143.97,Entire home/apt,425,3,80,22-05-2023,0.61,3,253,2
859859,Home in Lorne · ★4.36 · 3 bedrooms · 5 beds · 2 baths,459921,Surf Coast,-38.53829,143.97,Entire home/apt,450,2,118,03-12-2023,0.89,3,242,9
890837,Home in Jan Juc · ★4.78 · 1 bedroom · 1 bed · 1 private bath,4731549,Surf Coast,-38.35578,144.28283,Private room,238,1,226,12-12-2023,1.7,1,339,27
902612,Rental unit in Forrest · ★4.96 · 1 bedroom · 1 bed · 1 bath,4824121,Colac Otway,-38.51349,143.73032,Entire home/apt,240,2,24,07-01-2023,0.18,2,70,1
911101,Cottage in Strathdownie · ★4.76 · 2 bedrooms · 4 beds · 1 bath,4888844,Glenelg,-37.70711,141.21131,Entire home/apt,140,1,196,04-11-2023,1.51,1,315,18
921687,Place to stay in Moutajup · ★4.80 · 1 bedroom · 1 bed · 1 bath,4955998,Southern Grampians,-37.66715,142.2236,Entire home/apt,200,1,159,09-11-2023,1.24,3,145,7
943123,Home in Warrnambool · ★4.93 · 2 bedrooms · 3 beds · 1 shared bath,5102281,Warrnambool,-38.38613,142.5142,Private room,129,1,276,13-12-2023,2.09,1,262,36
1002120,Home in Torquay · ★4.88 · 1 bedroom · 1 bed · 1 private bath,5511143,Surf Coast,-38.32433,144.325,Private room,400,2,65,31-12-2020,0.54,1,0,0
1037178,Farm stay in Carlisle River · ★4.97 · 1 bedroom · 1 bed · 1 bath,5709920,Colac Otway,-38.57084,143.36134,Entire home/apt,200,2,113,03-12-2023,0.87,3,349,4
1113236,Home in Ocean Grove · ★4.46 · 4 bedrooms · 8 beds · 1 bath,6109815,Greater Geelong,-38.27093887,144.5171967,Entire home/apt,234,2,26,01-10-2023,0.22,1,340,6
1124773,Cottage in Fairhaven · ★4.77 · 2 bedrooms · 3 beds · 1 bath,6154547,Surf Coast,-38.46346,144.09438,Entire home/apt,264,2,77,26-11-2023,0.63,1,154,11
1168873,Home in Aireys Inlet · ★4.47 · 5 bedrooms · 9 beds · 3 baths,6401049,Surf Coast,-38.45819,144.11411,Entire home/apt,414,2,90,20-12-2023,0.71,1,141,9
1178771,Cabin in Bellbrae · ★4.89 · 3 bedrooms · 5 beds · 2 baths,6449378,Surf Coast,-38.332699,144.194412,Entire home/apt,400,3,18,22-04-2023,0.15,1,55,1
1180734,Rental unit in Lorne · ★4.84 · 3 bedrooms · 4 beds · 2 baths,4549647,Surf Coast,-38.54783,143.9852,Entire home/apt,546,3,49,25-04-2023,0.45,1,276,6
1247085,Home in Ocean Grove · ★4.71 · 3 bedrooms · 7 beds · 1 bath,5732565,Greater Geelong,-38.26207,144.52366,Entire home/apt,260,3,185,26-11-2023,1.45,1,128,17
1261097,Home in Skenes Creek · ★5.0 · 4 bedrooms · 5 beds · 2 baths,6398917,Colac Otway,-38.723026,143.711792,Entire home/apt,650,5,6,25-01-2018,0.05,2,54,0
1261290,Farm stay in Portland  · ★4.88 · 3 bedrooms · 3 beds · 2 baths,3046272,Glenelg,-38.38733,141.5529,Private room,130,1,247,09-03-2020,1.95,1,0,0
1285297,Home in Skenes Creek · ★4.84 · 2 bedrooms · 3 beds · 1 bath,6398917,Colac Otway,-38.72303,143.71179,Entire home/apt,299,1,234,08-12-2023,1.86,2,133,26
1289208,Home in Allansford · ★4.86 · 4 bedrooms · 7 beds · 2 baths,4647935,Warrnambool,-38.3943154,142.5932686,Entire home/apt,719,2,29,30-03-2023,0.24,5,316,5
1332982,Home in Anglesea · ★4.69 · 4 bedrooms · 6 beds · 1 bath,7230673,Surf Coast,-38.40787,144.1956,Entire home/apt,331,2,340,22-12-2023,2.73,1,47,36
1341747,Home in Aireys Inlet · ★4.94 · 3 bedrooms · 4 beds · 2.5 baths,7277677,Surf Coast,-38.45555,144.11513,Entire home/apt,343,2,222,03-02-2023,1.77,1,300,4
1384375,Boutique hotel in Lorne · ★4.95 · 1 bedroom · 1 bed · 1 private bath,81292,Surf Coast,-38.54131,143.97026,Private room,564,1,55,06-01-2023,0.52,3,72,2
1434583,Home in Lorne · ★4.46 · 5 bedrooms · 7 beds · 2.5 baths,7710444,Surf Coast,-38.52946,143.9739,Entire home/apt,800,2,125,17-12-2023,1.06,1,284,20
1500112,Home in Barwon Heads · ★4.63 · 4 bedrooms · 7 beds · 2 baths,8016448,Greater Geelong,-38.27656,144.49008,Entire home/apt,756,2,8,16-04-2021,0.08,2,361,0
1504804,Home in Anglesea · ★5.0 · 4 bedrooms · 7 beds · 2 baths,8040161,Surf Coast,-38.40489,144.18174,Entire home/apt,600,7,20,25-12-2022,0.16,1,10,0
1532875,Guesthouse in South Geelong · ★4.93 · Studio · 2 beds · 1 bath,901220,Greater Geelong,-38.16312,144.36001,Entire home/apt,132,1,764,15-12-2023,9,1,334,105
1544720,Home in Warrnambool · ★5.0 · 3 bedrooms · 3 beds · 1 bath,5285153,Warrnambool,-38.39272529,142.5058317,Entire home/apt,700,3,6,25-12-2023,0.62,1,342,6
1625193,Bed and breakfast in Barrabool · ★4.76 · 3 bedrooms · 4 beds · 1 shared bath,8641535,Surf Coast,-38.19125,144.20375,Private room,94,1,175,24-12-2023,1.79,1,357,55
1641677,Home in Aireys Inlet · ★4.49 · 2 bedrooms · 4 beds · 1 bath,8716182,Surf Coast,-38.45318,144.11095,Entire home/apt,220,2,70,29-11-2023,0.58,1,303,11
1641891,Home in Port Fairy · ★4.81 · 4 bedrooms · 4 beds · 1.5 baths,3784933,Moyne,-38.38333,142.23656,Entire home/apt,634,7,16,12-03-2023,0.15,1,203,2
1664906,Cabin in Aireys Inlet · ★4.72 · Studio · 2 beds · 1 bath,8819052,Surf Coast,-38.45908,144.10488,Entire home/apt,240,2,363,04-06-2023,3.04,1,0,11
1673242,Home in Wye River · ★4.78 · 2 bedrooms · 3 beds · 1 bath,8857419,Colac Otway,-38.63268,143.88839,Entire home/apt,311,2,18,08-03-2020,0.19,1,341,0
1693627,Home in Port Campbell · ★New · 4 bedrooms · 7 beds · 2 baths,8946631,Corangamite,-38.590476,142.9875729,Entire home/apt,943,1,1,24-12-2023,1,1,355,1
1729314,Guesthouse in Jan Juc · 1 bedroom · 1 bed · 1 private bath,119103,Surf Coast,-38.34341,144.30514,Private room,129,2,1,07-09-2017,0.01,2,0,0
1773818,Farm stay in Carlisle River · ★4.93 · 1 bedroom · 1 bed · 1 bath,5709920,Colac Otway,-38.5725,143.36169,Entire home/apt,200,2,87,05-11-2023,0.7,3,349,3
1848144,Rental unit in Apollo Bay · ★4.80 · 2 bedrooms · 3 beds · 1 bath,9653994,Colac Otway,-38.76179,143.66715,Entire home/apt,317,2,859,02-12-2023,7.01,1,82,33
1862897,Home in Point Lonsdale · ★5.0 · 4 bedrooms · 4 beds · 3 baths,9692808,Queenscliffe,-38.27217,144.6203,Entire home/apt,621,2,14,12-06-2023,0.19,4,342,3
1873599,Home in Point Lonsdale · ★4.70 · 2 bedrooms · 3 beds · 2 baths,9692808,Queenscliffe,-38.2724,144.62351,Entire home/apt,448,2,23,26-11-2023,0.22,4,333,2
1881674,Rental unit in Point Lonsdale · ★4.94 · 1 bedroom · 2 beds · 1 bath,9692808,Queenscliffe,-38.27132,144.62256,Entire home/apt,279,1,49,05-11-2023,0.47,4,318,9
1899302,Home in Barwon Heads · ★4.91 · 3 bedrooms · 4 beds · 2.5 baths,2066864,Greater Geelong,-38.28331,144.49102,Entire home/apt,546,2,92,02-12-2023,0.76,1,312,12
1950643,Home in Highton · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,5111630,Greater Geelong,-38.17029,144.32144,Private room,150,2,19,20-03-2021,0.16,1,0,0
1966742,Bed and breakfast in Strathdownie · ★4.90 · 3 bedrooms · 4 beds · 1.5 baths,10158581,Glenelg,-37.70146,141.24917,Entire home/apt,180,2,59,15-12-2023,0.56,1,344,11
1975739,Home in Big Hill via Lorne · ★4.61 · 3 bedrooms · 5 beds · 2 baths,10199075,Surf Coast,-38.48506,144.02591,Entire home/apt,650,2,41,01-01-2022,0.36,1,0,0
2012468,Home in Wye River · ★4.70 · 3 bedrooms · 6 beds · 1 bath,10353886,Colac Otway,-38.63374,143.88637,Entire home/apt,404,2,257,18-11-2023,2.11,1,330,18
2039477,Home in Barwon Heads · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,10462581,Greater Geelong,-38.27772,144.48941,Entire home/apt,700,2,13,16-01-2023,0.15,1,328,2
2051277,Rental unit in Apollo Bay · ★4.63 · 2 bedrooms · 2 beds · 2 baths,10512132,Colac Otway,-38.75543,143.66827,Entire home/apt,550,2,203,14-12-2023,1.68,1,322,37
2072393,Bungalow in Grey River · ★4.67 · 2 bedrooms · 3 beds · 1 bath,5140385,Colac Otway,-38.68293,143.83572,Entire home/apt,209,3,345,14-12-2023,2.85,1,0,33
2084690,Home in Ocean Grove · ★4.58 · 4 bedrooms · 6 beds · 2.5 baths,10647271,Greater Geelong,-38.25785,144.51573,Entire home/apt,464,5,59,10-04-2023,0.49,1,352,2
2088619,Bed and breakfast in Jan Juc · ★4.82 · 1 bedroom · 1 bed · 1 private bath,10661100,Surf Coast,-38.34886,144.30055,Private room,199,1,244,03-12-2023,2.01,1,338,28
2105771,Home in Apollo Bay · ★4.91 · 3 bedrooms · 3 beds · 1.5 baths,8229302,Colac Otway,-38.73448,143.6096,Entire home/apt,425,2,232,05-12-2023,2.06,1,0,22
2120809,Guesthouse in Sugarloaf · ★4.34 · 1 bedroom · 2 beds · 2 shared baths,10814850,Colac Otway,-38.69521,143.80223,Private room,295,1,116,06-09-2023,0.95,26,57,9
2121190,Farm stay in Sugarloaf · ★4.39 · 1 bedroom · 3 beds · 2 shared baths,10814850,Colac Otway,-38.69561,143.80229,Private room,388,1,270,21-11-2023,2.22,26,56,10
2121859,Farm stay in Sugarloaf · ★4.47 · 1 bedroom · 1 bed · 2 shared baths,10814850,Colac Otway,-38.69515,143.80206,Private room,309,1,157,04-10-2023,1.3,26,58,4
2121891,Guesthouse in Sugarloaf · ★4.45 · 1 bedroom · 1 bed · 2 shared baths,10814850,Colac Otway,-38.6951,143.802,Private room,309,1,120,17-01-2023,0.99,26,24,3
2121917,Boutique hotel in Sugarloaf · ★4.40 · 1 bedroom · 1 bed · 2 shared baths,10814850,Colac Otway,-38.69513,143.80211,Private room,309,1,356,26-10-2023,2.93,26,54,11
2126134,Guesthouse in Sugarloaf · ★4.38 · 1 bedroom · 1 bed · 2 shared baths,10814850,Colac Otway,-38.69511,143.80206,Private room,295,1,117,06-11-2023,0.96,26,58,3
2126154,Guesthouse in Sugarloaf · ★4.51 · 1 bedroom · 1 bed · 2 shared baths,10814850,Colac Otway,-38.69494,143.80212,Private room,295,1,212,16-11-2023,1.74,26,48,33
2136259,Home in Port Fairy · ★4.88 · 3 bedrooms · 5 beds · 2 baths,10902275,Moyne,-38.38002,142.23015,Entire home/apt,380,2,111,14-12-2023,1.19,1,310,30
2142372,Guesthouse in Sugarloaf · ★4.27 · 1 bedroom · 3 beds · 2 shared baths,10814850,Colac Otway,-38.6951,143.80196,Private room,388,1,174,29-10-2023,1.43,26,62,4
2142455,Home in Warrnambool · ★4.83 · 2 bedrooms · 3 beds · 1 bath,5038885,Warrnambool,-38.38577,142.45556,Entire home/apt,160,2,168,25-01-2023,1.39,1,250,2
2156217,Home in Geelong · ★4.97 · 2 bedrooms · 3 beds · 1.5 baths,11004106,Greater Geelong,-38.15818,144.35889,Entire home/apt,280,2,75,25-11-2023,0.64,1,320,7
2156921,Home in Illowa · ★4.85 · 4 bedrooms · 5 beds · 3 baths,11007504,Moyne,-38.33295,142.3737,Entire home/apt,625,2,65,20-01-2023,0.54,1,0,2
2160502,Home in Ocean Grove · ★4.73 · 1 bedroom · 1 bed · 1 private bath,4755363,Greater Geelong,-38.26353,144.5168,Private room,150,2,139,19-03-2023,1.15,2,172,8
2160606,Home in Killarney · ★4.93 · 3 bedrooms · 3 beds · 3 baths,11025062,Moyne,-38.34369,142.32856,Entire home/apt,220,2,81,09-04-2023,0.72,3,25,2
2161648,Home in Port Fairy · ★4.67 · 1 bedroom · 1 bed · 1 bath,11030818,Moyne,-38.37866,142.23117,Private room,93,2,426,03-12-2023,3.52,1,156,16
2198761,Home in Killarney · ★4.71 · 1 bedroom · 1 bed · 1 bath,11025062,Moyne,-38.34359,142.32699,Private room,200,2,7,14-03-2022,0.06,3,29,0
